S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
avaricia;avarici;0,50;0,00;0,00;0,33;0,00;0,17
avenida;aven;0,00;0,00;0,00;0,00;0,00;1,00
aventura;aventur;0,00;0,00;0,33;0,00;0,50;0,17
avergonzado;avergonz;1,00;0,00;0,00;0,00;0,00;0,00
avion;avion;0,00;0,00;0,00;0,00;0,00;1,00
avispa;avisp;0,00;0,67;0,00;0,00;0,00;0,33
azucar;azuc;0,00;0,00;0,17;0,00;0,00;0,83
azul;azul;0,17;0,00;0,00;0,00;0,00;0,83
bailarin;bailarin;0,00;0,00;0,50;0,00;0,00;0,50
bala;bal;0,00;1,00;0,00;0,00;0,00;0,00
bancarrota;bancarrot;0,67;0,17;0,00;0,17;0,00;0,00
banco;banc;0,00;0,00;0,00;0,00;0,00;1,00
bandera;bander;0,00;0,00;0,00;0,00;0,00;1,00
banyera;banyer;0,00;0,00;0,17;0,00;0,00;0,83
banyo;bany;0,00;0,00;0,00;0,00;0,00;1,00
bar;bar;0,00;0,00;0,50;0,00;0,00;0,50
barco;barc;0,00;0,00;0,17;0,00;0,00;0,83
barril;barril;0,00;0,00;0,00;0,00;0,00;1,00
bastardo;bastard;0,17;0,00;0,00;0,83;0,00;0,00
basto;bast;0,00;0,00;0,00;0,50;0,17;0,33
baston;baston;0,00;0,00;0,00;0,00;0,00;1,00
basura;basur;0,50;0,00;0,00;0,17;0,00;0,33
bebe;beb;0,00;0,00;0,83;0,00;0,00;0,17
bebida;beb;0,00;0,00;0,17;0,00;0,00;0,83
belleza;bellez;0,00;0,00;0,83;0,00;0,00;0,17
bendecir;bendec;0,00;0,00;0,67;0,00;0,00;0,33
beso;bes;0,00;0,00;1,00;0,00;0,00;0,00
bestia;besti;0,00;1,00;0,00;0,00;0,00;0,00
blanco;blanc;0,00;0,00;0,00;0,00;0,00;1,00
blasfemia;blasfemi;0,00;0,00;0,00;1,00;0,00;0,00
boda;bod;0,00;0,00;1,00;0,00;0,00;0,00
bodega;bodeg;0,00;0,00;0,17;0,00;0,00;0,83
bofetada;bofet;0,00;0,33;0,00;0,67;0,00;0,00
bomba;bomb;0,00;1,00;0,00;0,00;0,00;0,00
bombilla;bombill;0,00;0,00;0,17;0,00;0,00;0,83
botella;botell;0,00;0,00;0,00;0,00;0,00;1,00
boxeador;boxeador;0,00;0,67;0,00;0,00;0,00;0,33
brazo;braz;0,00;0,00;0,00;0,00;0,00;1,00
brillante;brillant;0,00;0,00;0,83;0,00;0,00;0,17
brio;bri;0,00;0,00;0,50;0,00;0,00;0,50
brisa;bris;0,00;0,00;0,50;0,00;0,00;0,50
brutal;brutal;0,00;0,67;0,00;0,00;0,17;0,17
buceador;buceador;0,00;0,00;0,00;0,00;0,00;1,00
bueno;buen;0,00;0,00;1,00;0,00;0,00;0,00
buho;buh;0,00;0,00;0,17;0,00;0,00;0,83
bulto;bult;0,00;0,00;0,00;0,00;0,00;1,00
burla;burl;0,17;0,00;0,00;0,83;0,00;0,00
caballo;caball;0,00;0,00;0,17;0,00;0,00;0,83
cable;cabl;0,00;0,00;0,00;0,00;0,00;1,00
cachorro;cachorr;0,00;0,00;0,67;0,00;0,00;0,33
cadaver;cadav;0,33;0,67;0,00;0,00;0,00;0,00
caida;caid;0,33;0,33;0,00;0,00;0,33;0,00
calidad;calid;0,00;0,00;0,83;0,00;0,00;0,17
callado;call;0,33;0,00;0,00;0,00;0,00;0,67
calle;call;0,00;0,00;0,00;0,00;0,00;1,00
callejon;callejon;0,00;0,50;0,00;0,00;0,00;0,50
calmar;calm;0,17;0,00;0,17;0,00;0,00;0,67
calor;calor;0,00;0,00;0,00;0,17;0,00;0,83
cama;cam;0,00;0,00;0,50;0,00;0,00;0,50
camion;camion;0,00;0,00;0,00;0,00;0,00;1,00
campeon;campeon;0,00;0,00;1,00;0,00;0,00;0,00
campo;camp;0,00;0,00;0,17;0,00;0,00;0,83
cancer;canc;0,50;0,50;0,00;0,00;0,00;0,00
cancion;cancion;0,00;0,00;0,67;0,00;0,00;0,33
cansado;cans;0,67;0,00;0,00;0,00;0,00;0,33
canyon;canyon;0,00;0,67;0,00;0,00;0,00;0,33
caos;caos;0,33;0,33;0,00;0,33;0,00;0,00
capaz;capaz;0,00;0,00;0,67;0,00;0,00;0,33
capricho;caprich;0,00;0,00;0,17;0,33;0,00;0,50
cara;car;0,00;0,00;0,00;0,00;0,00;1,00
caramelo;caramel;0,00;0,00;0,83;0,00;0,00;0,17
carcel;carcel;0,33;0,67;0,00;0,00;0,00;0,00
caricia;carici;0,00;0,00;1,00;0,00;0,00;0,00
carinyoso;cariny;0,00;0,00;1,00;0,00;0,00;0,00
carretera;carreter;0,00;0,00;0,00;0,00;0,00;1,00
carro;carr;0,00;0,00;0,00;0,00;0,00;1,00
carronya;carrony;0,17;0,00;0,00;0,33;0,00;0,50
carta;cart;0,00;0,00;0,17;0,00;0,00;0,83
casa;cas;0,00;0,00;0,17;0,00;0,00;0,83
cascada;casc;0,00;0,00;0,17;0,00;0,00;0,83
casino;casin;0,17;0,00;0,33;0,00;0,00;0,50
casita;casit;0,00;0,00;0,17;0,00;0,00;0,83
castigo;castig;0,33;0,33;0,00;0,33;0,00;0,00
celos;cel;0,33;0,00;0,00;0,67;0,00;0,00
celula;celul;0,00;0,00;0,00;0,00;0,00;1,00
cementerio;cementeri;0,33;0,67;0,00;0,00;0,00;0,00
cena;cen;0,00;0,00;0,17;0,00;0,00;0,83
cerdo;cerd;0,17;0,00;0,17;0,17;0,00;0,50
cesped;cesp;0,00;0,00;0,17;0,00;0,00;0,83
cesta;cest;0,00;0,00;0,00;0,00;0,00;1,00
chaleco;chalec;0,00;0,00;0,00;0,00;0,00;1,00
champinyon;champinyon;0,00;0,00;0,00;0,00;0,00;1,00
chantaje;chantaj;0,00;0,17;0,00;0,83;0,00;0,00
chica;chic;0,00;0,00;0,17;0,00;0,00;0,83
chico;chic;0,00;0,00;0,00;0,00;0,00;1,00
chiflado;chifl;0,00;0,33;0,17;0,33;0,17;0,00
chillido;chill;0,00;0,67;0,00;0,17;0,17;0,00
chiste;chist;0,00;0,00;1,00;0,00;0,00;0,00
chocolate;chocolat;0,00;0,00;0,50;0,00;0,00;0,50
choque;choqu;0,00;0,33;0,00;0,00;0,50;0,17
cicatriz;cicatriz;0,67;0,17;0,00;0,00;0,00;0,17
ciclon;ciclon;0,00;1,00;0,00;0,00;0,00;0,00
ciego;cieg;0,67;0,00;0,00;0,00;0,00;0,33
cielo;ciel;0,00;0,00;0,50;0,00;0,00;0,50
ciempies;ciempies;0,00;0,17;0,00;0,00;0,00;0,83
cieno;cien;0,17;0,33;0,00;0,00;0,00;0,50
circo;circ;0,17;0,00;0,67;0,00;0,17;0,00
circulo;circul;0,00;0,00;0,00;0,00;0,00;1,00
cirugia;cirug;0,00;0,83;0,00;0,00;0,00;0,17
ciudad;ciud;0,00;0,00;0,00;0,00;0,00;1,00
cobarde;cobard;0,17;0,67;0,00;0,17;0,00;0,00
coche;coch;0,00;0,00;0,00;0,00;0,00;1,00
cocina;cocin;0,00;0,00;0,17;0,00;0,00;0,83
cocinero;cociner;0,00;0,00;0,17;0,00;0,00;0,83
codo;cod;0,00;0,00;0,00;0,00;0,00;1,00
coito;coit;0,00;0,00;1,00;0,00;0,00;0,00
colera;coler;0,00;0,17;0,00;0,83;0,00;0,00
color;color;0,00;0,00;0,33;0,00;0,00;0,67
columna;column;0,00;0,00;0,00;0,00;0,00;1,00
comedia;comedi;0,00;0,00;1,00;0,00;0,00;0,00
comer;com;0,00;0,00;0,67;0,00;0,00;0,33
comida;com;0,00;0,00;0,33;0,00;0,00;0,67
comprometido;compromet;0,00;0,00;0,83;0,00;0,00;0,17
concentrado;concentr;0,00;0,00;0,00;0,00;0,00;1,00
conejito;conejit;0,00;0,00;0,17;0,00;0,00;0,83
conejo;conej;0,00;0,00;0,17;0,00;0,00;0,83
confianza;confianz;0,00;0,00;0,83;0,00;0,00;0,17
confort;confort;0,00;0,00;1,00;0,00;0,00;0,00
confuso;confus;0,50;0,00;0,00;0,00;0,50;0,00
conocimiento;conoc;0,00;0,00;0,67;0,00;0,00;0,33
considerado;consider;0,00;0,00;0,50;0,00;0,00;0,50
consigna;consign;0,00;0,00;0,00;0,00;0,00;1,00
consolado;consol;0,33;0,00;0,67;0,00;0,00;0,00
contaminar;contamin;0,67;0,00;0,00;0,33;0,00;0,00
contenido;conten;0,00;0,00;0,00;0,00;0,00;1,00
contexto;context;0,00;0,00;0,00;0,00;0,00;1,00
convencido;convenc;0,00;0,00;0,00;0,00;0,00;1,00
coqueto;coquet;0,00;0,00;0,50;0,00;0,00;0,50
corazon;corazon;0,00;0,00;0,50;0,00;0,00;0,50
corcho;corch;0,00;0,00;0,00;0,00;0,00;1,00
cordero;corder;0,00;0,00;0,17;0,00;0,00;0,83
corona;coron;0,00;0,00;0,00;0,00;0,00;1,00
corredor;corredor;0,00;0,00;0,17;0,00;0,00;0,83
correo;corre;0,00;0,00;0,00;0,00;0,00;1,00
corrupto;corrupt;0,00;0,00;0,00;0,83;0,00;0,17
corte;cort;0,00;0,33;0,00;0,00;0,00;0,67
cortesia;cortes;0,00;0,00;0,83;0,00;0,00;0,17
cortina;cortin;0,00;0,00;0,00;0,00;0,00;1,00
costa;cost;0,00;0,00;0,17;0,00;0,00;0,83
costumbre;costumbr;0,00;0,00;0,00;0,00;0,00;1,00
cotilleo;cotille;0,00;0,00;0,00;0,17;0,83;0,00
craneo;crane;0,00;0,17;0,00;0,00;0,00;0,83
crepe;crep;0,00;0,00;0,17;0,00;0,00;0,83
crepusculo;crepuscul;0,17;0,33;0,17;0,00;0,00;0,33
criatura;criatur;0,00;0,17;0,17;0,00;0,00;0,67
crimen;crim;0,17;0,83;0,00;0,00;0,00;0,00
criminal;criminal;0,17;0,83;0,00;0,00;0,00;0,00
crisis;crisis;0,50;0,17;0,00;0,33;0,00;0,00
crucificar;crucific;0,50;0,50;0,00;0,00;0,00;0,00
cruel;cruel;0,17;0,50;0,00;0,33;0,00;0,00
cuadrado;cuadr;0,00;0,00;0,00;0,00;0,00;1,00
cucaracha;cucarach;0,00;1,00;0,00;0,00;0,00;0,00
cuchillo;cuchill;0,00;0,83;0,00;0,00;0,00;0,17
cuenco;cuenc;0,00;0,00;0,00;0,00;0,00;1,00
cuerpo;cuerp;0,00;0,00;0,00;0,00;0,00;1,00
culpa;culp;0,83;0,00;0,00;0,17;0,00;0,00
culpable;culpabl;0,50;0,00;0,00;0,50;0,00;0,00
cumpleanyos;cumpleany;0,00;0,00;1,00;0,00;0,00;0,00
cura;cur;0,00;0,00;0,67;0,00;0,00;0,33
curar;cur;0,00;0,00;1,00;0,00;0,00;0,00
curioso;curios;0,00;0,00;0,17;0,00;0,67;0,17
daga;dag;0,00;1,00;0,00;0,00;0,00;0,00
danyo;dany;0,50;0,33;0,00;0,17;0,00;0,00
debil;debil;0,83;0,00;0,00;0,17;0,00;0,00
decepcionar;decepcion;0,83;0,00;0,00;0,00;0,17;0,00
decorar;decor;0,00;0,00;0,83;0,00;0,00;0,17
dedicado;dedic;0,00;0,00;0,33;0,00;0,00;0,67
dedo;ded;0,00;0,00;0,00;0,00;0,00;1,00
defendido;defend;0,00;0,00;0,83;0,00;0,00;0,17
deforme;deform;0,50;0,50;0,00;0,00;0,00;0,00
deleite;deleit;0,00;0,00;1,00;0,00;0,00;0,00
delicado;delic;0,00;0,00;0,17;0,17;0,00;0,67
demente;dement;0,17;0,33;0,00;0,17;0,00;0,33
demonio;demoni;0,00;1,00;0,00;0,00;0,00;0,00
