S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
frustrado;frustr;0,50;0,00;0,00;0,50;0,00;0,00
fuego;fueg;0,00;0,33;0,00;0,00;0,00;0,67
fuerte;fuert;0,00;0,00;0,00;0,00;0,00;1,00
funeral;funeral;1,00;0,00;0,00;0,00;0,00;0,00
furcia;furci;0,33;0,00;0,00;0,67;0,00;0,00
fusil;fusil;0,00;1,00;0,00;0,00;0,00;0,00
ganancias;gananci;0,00;0,00;0,83;0,00;0,00;0,17
ganar;gan;0,00;0,00;1,00;0,00;0,00;0,00
gangrena;gangren;0,50;0,50;0,00;0,00;0,00;0,00
gatito;gatit;0,00;0,00;0,83;0,00;0,00;0,17
gato;gat;0,00;0,00;0,17;0,00;0,00;0,83
gelido;gel;0,33;0,33;0,00;0,00;0,00;0,33
genero;gener;0,00;0,00;0,00;0,00;0,00;1,00
generoso;gener;0,00;0,00;1,00;0,00;0,00;0,00
genial;genial;0,00;0,00;1,00;0,00;0,00;0,00
gente;gent;0,00;0,00;0,17;0,00;0,00;0,83
germenes;germen;0,00;0,83;0,00;0,00;0,00;0,17
gimnasta;gimnast;0,00;0,00;0,17;0,00;0,00;0,83
glaciar;glaci;0,00;0,00;0,17;0,00;0,00;0,83
glamour;glamour;0,00;0,00;0,17;0,00;0,00;0,83
gloria;glori;0,00;0,00;1,00;0,00;0,00;0,00
goce;goc;0,00;0,00;1,00;0,00;0,00;0,00
golfista;golfist;0,00;0,00;0,17;0,00;0,00;0,83
golpe;golp;0,17;0,33;0,00;0,50;0,00;0,00
gordo;gord;0,17;0,00;0,00;0,00;0,00;0,83
graduado;gradu;0,00;0,00;0,83;0,00;0,00;0,17
granada;gran;0,00;0,33;0,33;0,00;0,00;0,33
granja;granj;0,00;0,00;0,50;0,00;0,00;0,50
grave;grav;0,50;0,33;0,00;0,00;0,00;0,17
grito;grit;0,00;0,67;0,00;0,17;0,17;0,00
grosero;groser;0,00;0,00;0,00;1,00;0,00;0,00
guapa;guap;0,00;0,00;1,00;0,00;0,00;0,00
guapo;guap;0,00;0,00;1,00;0,00;0,00;0,00
guarderia;guard;0,00;0,00;0,33;0,00;0,00;0,67
guerra;guerr;0,33;0,67;0,00;0,00;0,00;0,00
guillotina;guillotin;0,00;1,00;0,00;0,00;0,00;0,00
guinyo;guiny;0,00;0,00;0,83;0,00;0,17;0,00
gusano;gusan;0,00;0,00;0,00;0,17;0,00;0,83
habitante;habit;0,00;0,00;0,00;0,00;0,00;1,00
habito;habit;0,00;0,00;0,00;0,00;0,00;1,00
halcon;halcon;0,00;0,00;0,17;0,00;0,00;0,83
hambriento;hambrient;0,83;0,00;0,00;0,00;0,00;0,17
hamburguesa;hamburgues;0,00;0,00;0,00;0,00;0,00;1,00
harto;hart;0,00;0,00;0,00;1,00;0,00;0,00
hastio;hasti;0,33;0,00;0,00;0,67;0,00;0,00
hedor;hedor;0,17;0,33;0,00;0,00;0,17;0,33
heno;hen;0,00;0,00;0,00;0,00;0,00;1,00
heridas;her;0,67;0,17;0,00;0,00;0,00;0,17
herido;her;0,67;0,17;0,00;0,00;0,00;0,17
hermano;herman;0,00;0,00;0,83;0,00;0,00;0,17
hermoso;hermos;0,00;0,00;0,83;0,00;0,00;0,17
heroina;heroin;0,00;0,00;0,33;0,00;0,00;0,67
herramienta;herramient;0,00;0,00;0,00;0,00;0,00;1,00
hervir;herv;0,00;0,17;0,00;0,00;0,00;0,83
hierro;hierr;0,00;0,17;0,00;0,00;0,00;0,83
historia;histori;0,00;0,00;0,00;0,00;0,00;1,00
hogar;hog;0,00;0,00;0,83;0,00;0,00;0,17
hombre;hombr;0,00;0,00;0,00;0,00;0,00;1,00
homicida;homic;0,00;0,83;0,00;0,17;0,00;0,00
honesto;honest;0,00;0,00;1,00;0,00;0,00;0,00
hongo;hong;0,00;0,00;0,00;0,00;0,00;1,00
honor;honor;0,00;0,00;0,83;0,00;0,00;0,17
hornear;horn;0,00;0,00;0,17;0,00;0,00;0,83
horquilla;horquill;0,00;0,00;0,00;0,00;0,00;1,00
horror;horror;0,00;1,00;0,00;0,00;0,00;0,00
hospital;hospital;0,17;0,50;0,00;0,00;0,00;0,33
hostil;hostil;0,00;0,17;0,00;0,83;0,00;0,00
hotel;hotel;0,00;0,00;0,00;0,00;0,00;1,00
huevo;huev;0,00;0,00;0,17;0,00;0,00;0,83
humano;human;0,00;0,00;0,00;0,00;0,00;1,00
humilde;humild;0,00;0,00;0,00;0,00;0,00;1,00
humillar;humill;0,33;0,00;0,00;0,67;0,00;0,00
humor;humor;0,00;0,00;1,00;0,00;0,00;0,00
huracan;huracan;0,00;1,00;0,00;0,00;0,00;0,00
idea;ide;0,00;0,00;0,33;0,00;0,17;0,50
identidad;ident;0,00;0,00;0,00;0,00;0,00;1,00
idiota;idiot;0,00;0,00;0,00;1,00;0,00;0,00
idolo;idol;0,00;0,00;0,50;0,00;0,00;0,50
iglesia;iglesi;0,00;0,00;0,17;0,00;0,00;0,83
ignorancia;ignor;0,67;0,00;0,00;0,17;0,00;0,17
imaginar;imagin;0,00;0,00;0,50;0,00;0,17;0,33
imparcial;imparcial;0,00;0,00;0,00;0,17;0,00;0,83
impotente;impotent;0,33;0,00;0,00;0,50;0,00;0,17
impresionado;impresion;0,00;0,00;0,00;0,00;1,00;0,00
incentivo;incent;0,00;0,00;0,67;0,00;0,00;0,33
incomodidad;incomod;0,67;0,00;0,00;0,33;0,00;0,00
incordio;incordi;0,00;0,00;0,00;1,00;0,00;0,00
indefenso;indefens;0,33;0,50;0,00;0,17;0,00;0,00
indiferente;indiferent;0,00;0,00;0,00;0,17;0,00;0,83
industria;industri;0,00;0,00;0,00;0,00;0,00;1,00
infeccion;infeccion;0,33;0,67;0,00;0,00;0,00;0,00
infeliz;infeliz;1,00;0,00;0,00;0,00;0,00;0,00
inferior;inferior;0,33;0,00;0,00;0,17;0,00;0,50
infiel;infiel;0,33;0,00;0,00;0,67;0,00;0,00
infierno;infiern;0,00;1,00;0,00;0,00;0,00;0,00
ingenio;ingeni;0,00;0,00;0,50;0,00;0,17;0,33
inmaduro;inmadur;0,00;0,00;0,00;0,67;0,00;0,33
inmoral;inmoral;0,00;0,00;0,00;1,00;0,00;0,00
inocente;inocent;0,00;0,00;0,50;0,00;0,00;0,50
inquieto;inquiet;0,00;0,33;0,17;0,00;0,00;0,50
insecto;insect;0,00;0,17;0,00;0,00;0,00;0,83
inseguro;insegur;0,67;0,33;0,00;0,00;0,00;0,00
insolente;insolent;0,00;0,00;0,00;1,00;0,00;0,00
inspirado;inspir;0,00;0,00;0,50;0,00;0,00;0,50
inspirar;inspir;0,00;0,00;0,17;0,00;0,00;0,83
insulto;insult;0,00;0,00;0,00;1,00;0,00;0,00
intelecto;intelect;0,00;0,00;0,50;0,00;0,00;0,50
interes;interes;0,00;0,00;0,33;0,00;0,17;0,50
intimo;intim;0,00;0,00;0,50;0,00;0,00;0,50
intruso;intrus;0,00;0,67;0,00;0,17;0,17;0,00
inundacion;inund;0,17;0,83;0,00;0,00;0,00;0,00
inutil;inutil;0,33;0,00;0,00;0,67;0,00;0,00
invasor;invasor;0,00;0,67;0,00;0,33;0,00;0,00
invertir;invert;0,00;0,00;0,17;0,00;0,00;0,83
invitacion;invit;0,00;0,00;1,00;0,00;0,00;0,00
irritar;irrit;0,00;0,00;0,00;1,00;0,00;0,00
jaqueca;jaquec;1,00;0,00;0,00;0,00;0,00;0,00
jardin;jardin;0,00;0,00;0,33;0,00;0,00;0,67
jarra;jarr;0,00;0,00;0,00;0,00;0,00;1,00
joven;jov;0,00;0,00;0,50;0,00;0,00;0,50
jovial;jovial;0,00;0,00;1,00;0,00;0,00;0,00
joya;joy;0,00;0,00;0,67;0,00;0,00;0,33
jubilo;jubil;0,00;0,00;1,00;0,00;0,00;0,00
jubiloso;jubil;0,00;0,00;1,00;0,00;0,00;0,00
juego;jueg;0,00;0,00;1,00;0,00;0,00;0,00
juguete;juguet;0,00;0,00;1,00;0,00;0,00;0,00
justicia;justici;0,00;0,00;0,67;0,00;0,00;0,33
juventud;juventud;0,00;0,00;0,67;0,00;0,00;0,33
ketchup;ketchup;0,00;0,00;0,00;0,00;0,00;1,00
ladron;ladron;0,00;0,83;0,00;0,17;0,00;0,00
lago;lag;0,00;0,00;0,00;0,00;0,00;1,00
lampara;lamp;0,00;0,00;0,17;0,00;0,00;0,83
languido;langu;1,00;0,00;0,00;0,00;0,00;0,00
lapiz;lapiz;0,00;0,00;0,00;0,00;0,00;1,00
lastima;lastim;1,00;0,00;0,00;0,00;0,00;0,00
lavabo;lavab;0,00;0,00;0,00;0,00;0,00;1,00
leal;leal;0,00;0,00;0,83;0,00;0,00;0,17
leche;lech;0,00;0,00;0,00;0,00;0,00;1,00
lento;lent;0,17;0,00;0,00;0,33;0,00;0,50
leon;leon;0,00;0,67;0,00;0,00;0,00;0,33
lepra;lepr;0,17;0,83;0,00;0,00;0,00;0,00
lesbiana;lesbian;0,00;0,00;0,00;0,00;0,00;1,00
lesion;lesion;0,17;0,50;0,00;0,00;0,00;0,33
leyenda;leyend;0,00;0,17;0,17;0,00;0,00;0,67
liberacion;liber;0,00;0,00;1,00;0,00;0,00;0,00
libertad;libert;0,00;0,00;1,00;0,00;0,00;0,00
libre;libr;0,00;0,00;1,00;0,00;0,00;0,00
libro;libr;0,00;0,00;0,17;0,00;0,00;0,83
licenciado;licenci;0,00;0,00;0,67;0,00;0,00;0,33
lider;lid;0,00;0,17;0,17;0,00;0,00;0,67
liga;lig;0,00;0,00;0,00;0,00;0,00;1,00
linterna;lintern;0,00;0,00;0,00;0,00;0,00;1,00
liso;lis;0,00;0,00;0,00;0,00;0,00;1,00
litro;litr;0,00;0,00;0,00;0,00;0,00;1,00
llano;llan;0,00;0,00;0,00;0,00;0,00;1,00
llave;llav;0,00;0,00;0,00;0,00;0,00;1,00
lloriqueo;llorique;1,00;0,00;0,00;0,00;0,00;0,00
lluvia;lluvi;0,00;0,00;0,17;0,00;0,00;0,83
lobrego;lobreg;0,00;1,00;0,00;0,00;0,00;0,00
loco;loc;0,17;0,83;0,00;0,00;0,00;0,00
logro;logr;0,00;0,00;1,00;0,00;0,00;0,00
loteria;lot;0,00;0,00;0,67;0,00;0,17;0,17
lucha;luch;0,00;0,50;0,00;0,50;0,00;0,00
lujo;luj;0,00;0,00;0,67;0,00;0,00;0,33
lujuria;lujuri;0,00;0,00;0,33;0,33;0,00;0,33
madre;madr;0,00;0,00;0,50;0,00;0,00;0,50
maestro;maestr;0,00;0,00;0,17;0,00;0,00;0,83
magdalena;magdalen;0,00;0,00;0,00;0,00;0,00;1,00
magico;magic;0,00;0,00;0,67;0,00;0,33;0,00
magistral;magistral;0,00;0,00;0,50;0,00;0,00;0,50
malaria;malari;0,67;0,33;0,00;0,00;0,00;0,00
maleducado;maleduc;0,00;0,00;0,00;1,00;0,00;0,00
maletero;maleter;0,00;0,00;0,00;0,00;0,00;1,00
malicia;malici;0,17;0,00;0,00;0,83;0,00;0,00
maltrato;maltrat;0,17;0,17;0,00;0,67;0,00;0,00
malvado;malv;0,17;0,33;0,00;0,50;0,00;0,00
manera;maner;0,00;0,00;0,00;0,00;0,00;1,00
manguera;manguer;0,00;0,00;0,00;0,00;0,00;1,00
maniaco;maniac;0,00;1,00;0,00;0,00;0,00;0,00
maniqui;maniqu;0,00;0,00;0,00;0,00;0,00;1,00
mano;man;0,00;0,00;0,00;0,00;0,00;1,00
manosear;manos;0,00;0,00;0,00;0,50;0,00;0,50
manso;mans;0,00;0,00;0,00;0,00;0,00;1,00
mantequilla;mantequill;0,00;0,00;0,00;0,00;0,00;1,00
maquina;maquin;0,00;0,00;0,00;0,00;0,00;1,00
maquinilla;maquinill;0,00;0,00;0,00;0,00;0,00;1,00
maravilla;maravill;0,00;0,00;0,83;0,00;0,17;0,00
mareado;mar;0,67;0,33;0,00;0,00;0,00;0,00
mariposa;marip;0,00;0,00;0,17;0,00;0,00;0,83
mariquita;mariquit;0,00;0,00;0,17;0,00;0,00;0,83
martillo;martill;0,00;0,17;0,00;0,00;0,00;0,83
masacre;masacr;0,33;0,50;0,00;0,17;0,00;0,00
mascota;mascot;0,00;0,00;0,67;0,00;0,00;0,33
masturbarse;masturb;0,00;0,00;0,17;0,00;0,00;0,83
matanza;matanz;0,33;0,67;0,00;0,00;0,00;0,00
material;material;0,00;0,00;0,00;0,00;0,00;1,00
medicina;medicin;0,00;0,00;0,33;0,00;0,00;0,67
mejorar;mejor;0,00;0,00;1,00;0,00;0,00;0,00
melodia;melod;0,00;0,00;0,67;0,00;0,00;0,33
memoria;memori;0,00;0,00;0,00;0,00;0,00;1,00
mendigo;mendig;1,00;0,00;0,00;0,00;0,00;0,00
menosprecio;menospreci;0,17;0,00;0,00;0,83;0,00;0,00
mente;ment;0,00;0,00;0,00;0,00;0,00;1,00
mentira;mentir;0,00;0,00;0,00;1,00;0,00;0,00
menton;menton;0,00;0,00;0,00;0,00;0,00;1,00
mercado;merc;0,00;0,00;0,00;0,00;0,00;1,00
mermelada;mermel;0,00;0,00;0,17;0,00;0,00;0,83
mes;mes;0,00;0,00;0,00;0,00;0,00;1,00
mesa;mes;0,00;0,00;0,00;0,00;0,00;1,00
metal;metal;0,00;0,00;0,00;0,00;0,00;1,00
metodo;metod;0,00;0,00;0,00;0,00;0,00;1,00
miedoso;miedos;0,00;1,00;0,00;0,00;0,00;0,00
miel;miel;0,00;0,00;0,17;0,00;0,00;0,83
milagro;milagr;0,00;0,00;0,50;0,00;0,50;0,00
millonario;millonari;0,00;0,00;0,50;0,00;0,00;0,50
miseria;miseri;1,00;0,00;0,00;0,00;0,00;0,00
mistico;mistic;0,00;0,00;0,17;0,00;0,17;0,67
modesto;modest;0,00;0,00;0,33;0,00;0,00;0,67
moho;moh;0,17;0,17;0,00;0,17;0,00;0,50
molde;mold;0,00;0,00;0,00;0,00;0,00;1,00
molestar;molest;0,00;0,00;0,00;1,00;0,00;0,00
molestia;molesti;0,00;0,00;0,00;1,00;0,00;0,00
molino;molin;0,00;0,00;0,00;0,00;0,00;1,00
momento;moment;0,00;0,00;0,00;0,00;0,00;1,00
moneda;moned;0,00;0,00;0,00;0,00;0,00;1,00
monja;monj;0,00;0,00;0,00;0,00;0,00;1,00
mono;mon;0,00;0,00;0,00;0,00;0,00;1,00
montanya;montany;0,00;0,00;0,17;0,00;0,00;0,83
moral;moral;0,00;0,00;0,00;0,00;0,00;1,00
morboso;morbos;0,17;0,00;0,00;0,67;0,17;0,00
morgue;morg;0,67;0,33;0,00;0,00;0,00;0,00
mosquito;mosquit;0,00;0,17;0,00;0,17;0,00;0,67
motor;motor;0,00;0,00;0,00;0,00;0,00;1,00
movilidad;movil;0,00;0,00;0,00;0,00;0,00;1,00
mucosidad;muc;0,17;0,00;0,00;0,00;0,00;0,83
mueca;muec;0,00;0,00;0,17;0,33;0,17;0,33
muerte;muert;0,83;0,17;0,00;0,00;0,00;0,00
muerto;muert;0,67;0,33;0,00;0,00;0,00;0,00
mugre;mugr;0,00;0,00;0,00;0,67;0,00;0,33
mujer;muj;0,00;0,00;0,17;0,00;0,00;0,83
muleta;mulet;0,33;0,00;0,00;0,00;0,00;0,67
multa;mult;0,00;0,00;0,00;0,83;0,00;0,17
mundo;mund;0,00;0,00;0,00;0,00;0,00;1,00
munyeca;munyec;0,00;0,00;0,17;0,00;0,00;0,83
musculoso;muscul;0,00;0,00;0,00;0,00;0,00;1,00
museo;muse;0,00;0,00;0,00;0,00;0,00;1,00
musica;music;0,00;0,00;0,67;0,00;0,00;0,33
mutacion;mutacion;0,00;0,17;0,00;0,00;0,50;0,33
mutilar;mutil;0,33;0,50;0,00;0,17;0,00;0,00
nadador;nadador;0,00;0,00;0,00;0,00;0,00;1,00
narcotico;narcot;0,17;0,50;0,00;0,00;0,00;0,33
natural;natural;0,00;0,00;0,00;0,00;0,00;1,00
naturaleza;naturalez;0,00;0,00;0,50;0,00;0,00;0,50
navidad;navid;0,00;0,00;1,00;0,00;0,00;0,00
nectar;nect;0,00;0,00;0,00;0,00;0,00;1,00
negligencia;negligent;0,00;0,00;0,00;1,00;0,00;0,00
negro;negr;0,00;0,00;0,00;0,00;0,00;1,00
nene;nen;0,00;0,00;0,00;0,00;0,00;1,00
nervioso;nervios;0,17;0,33;0,00;0,17;0,17;0,17
neurotico;neurot;0,17;0,33;0,00;0,17;0,00;0,33
nevera;never;0,00;0,00;0,00;0,00;0,00;1,00
nieve;niev;0,00;0,00;0,00;0,00;0,00;1,00
ninyo;niny;0,00;0,00;0,17;0,00;0,00;0,83
nombre;nombr;0,00;0,00;0,00;0,00;0,00;1,00
noticias;notici;0,00;0,00;0,00;0,00;0,33;0,67
novia;novi;0,00;0,00;0,67;0,00;0,00;0,33
novio;novi;0,00;0,00;0,67;0,00;0,00;0,33
nubes;nub;0,00;0,00;0,00;0,00;0,00;1,00
nublado;nubl;0,50;0,17;0,00;0,00;0,00;0,33
nudo;nud;0,00;0,00;0,00;0,00;0,00;1,00
nutrir;nutr;0,00;0,00;0,33;0,00;0,00;0,67
obedecer;obedec;0,00;0,17;0,33;0,17;0,00;0,33
obesidad;obes;0,67;0,00;0,00;0,00;0,00;0,33
obsceno;obscen;0,00;0,00;0,00;1,00;0,00;0,00
obsequio;obsequi;0,00;0,00;0,67;0,00;0,33;0,00
obsesion;obsesion;0,00;1,00;0,00;0,00;0,00;0,00
ocaso;ocas;0,33;0,00;0,00;0,00;0,00;0,67
oceano;ocean;0,00;0,00;0,00;0,00;0,00;1,00
odiar;odi;0,00;0,00;0,00;1,00;0,00;0,00
odio;odi;0,00;0,00;0,00;1,00;0,00;0,00
ofender;ofend;0,17;0,00;0,00;0,83;0,00;0,00
oficina;oficin;0,17;0,00;0,00;0,00;0,00;0,83
olla;olla;0,00;0,00;0,00;0,00;0,00;1,00
opcion;opcion;0,00;0,00;0,00;0,00;0,00;1,00
opinion;opinion;0,00;0,00;0,00;0,00;0,00;1,00
oportunidad;oportun;0,00;0,00;0,67;0,00;0,17;0,17
optimismo;optim;0,00;0,00;1,00;0,00;0,00;0,00
ordenado;orden;0,00;0,00;0,33;0,00;0,00;0,67
ordenador;orden;0,00;0,00;0,00;0,00;0,00;1,00
orgasmo;orgasm;0,00;0,00;1,00;0,00;0,00;0,00
orgullo;orgull;0,00;0,00;0,50;0,00;0,00;0,50
orgulloso;orgull;0,00;0,00;0,83;0,17;0,00;0,00
orina;orin;0,00;0,00;0,00;0,00;0,00;1,00
oro;oro;0,00;0,00;0,33;0,00;0,00;0,67
orquesta;orquest;0,00;0,00;0,50;0,00;0,00;0,50
oscuro;oscur;0,17;0,50;0,00;0,00;0,00;0,33
otonyo;otony;0,17;0,00;0,17;0,00;0,00;0,67
oxidado;oxid;0,17;0,00;0,00;0,00;0,00;0,83
paciente;pacient;0,17;0,00;0,00;0,00;0,00;0,83
padre;padr;0,00;0,00;0,17;0,00;0,00;0,83
pajaro;pajar;0,00;0,00;0,50;0,00;0,00;0,50
palacio;palaci;0,00;0,00;0,17;0,00;0,00;0,83
paloma;palom;0,00;0,00;0,17;0,00;0,00;0,83
pancarta;pancart;0,00;0,00;0,00;0,17;0,00;0,83
panico;panic;0,00;1,00;0,00;0,00;0,00;0,00
pantano;pantan;0,00;0,00;0,00;0,00;0,00;1,00
panyuelo;panyuel;0,00;0,00;0,00;0,00;0,00;1,00
papel;papel;0,00;0,00;0,00;0,00;0,00;1,00
paraguas;paragu;0,00;0,00;0,00;0,00;0,00;1,00
paraiso;parais;0,00;0,00;1,00;0,00;0,00;0,00
paralisis;paralisis;0,67;0,33;0,00;0,00;0,00;0,00
pareja;parej;0,00;0,00;0,83;0,00;0,00;0,17
parte;part;0,00;0,00;0,00;0,00;0,00;1,00
pasaje;pasaj;0,00;0,00;0,00;0,00;0,00;1,00
pasillo;pasill;0,00;0,00;0,00;0,00;0,00;1,00
pasion;pasion;0,00;0,00;1,00;0,00;0,00;0,00
pasta;past;0,00;0,00;0,00;0,00;0,00;1,00
pastel;pastel;0,00;0,00;0,33;0,00;0,00;0,67
patente;patent;0,00;0,00;0,00;0,00;0,00;1,00
patriota;patriot;0,00;0,00;0,00;0,00;0,00;1,00
pausado;paus;0,00;0,00;0,00;0,00;0,00;1,00
paz;paz;0,00;0,00;0,83;0,00;0,00;0,17
pecado;pec;0,17;0,00;0,00;0,50;0,00;0,33
pecaminoso;pecamin;0,17;0,00;0,00;0,50;0,00;0,33
pelicula;pelicul;0,00;0,00;0,00;0,00;0,00;1,00
peligro;peligr;0,00;1,00;0,00;0,00;0,00;0,00
pellizco;pellizc;0,00;0,00;0,00;0,50;0,50;0,00
pena;pen;1,00;0,00;0,00;0,00;0,00;0,00
pene;pen;0,00;0,00;0,00;0,00;0,00;1,00
penoso;penos;1,00;0,00;0,00;0,00;0,00;0,00
pensamiento;pensamient;0,00;0,00;0,00;0,00;0,00;1,00
perdedor;perdedor;1,00;0,00;0,00;0,00;0,00;0,00
perdido;perd;0,67;0,33;0,00;0,00;0,00;0,00
perezoso;perez;0,17;0,00;0,00;0,67;0,00;0,17
perfeccion;perfeccion;0,00;0,00;0,67;0,00;0,00;0,33
perfume;perfum;0,00;0,00;0,50;0,00;0,00;0,50
perro;perr;0,00;0,00;0,50;0,00;0,00;0,50
persona;person;0,00;0,00;0,00;0,00;0,00;1,00
perverso;pervers;0,00;0,50;0,00;0,50;0,00;0,00
pervertido;pervert;0,00;0,17;0,00;0,67;0,00;0,17
pesadilla;pesadill;0,00;1,00;0,00;0,00;0,00;0,00
pesar;pes;0,67;0,00;0,00;0,00;0,00;0,33
pesaroso;pesar;1,00;0,00;0,00;0,00;0,00;0,00
pescado;pesc;0,00;0,00;0,00;0,00;0,00;1,00
pesimismo;pesim;0,83;0,00;0,00;0,00;0,00;0,17
peste;pest;0,00;0,17;0,00;0,67;0,00;0,17
pezon;pezon;0,00;0,00;0,00;0,00;0,00;1,00
pie;pie;0,00;0,00;0,00;0,00;0,00;1,00
piel;piel;0,00;0,00;0,00;0,00;0,00;1,00
pieza;piez;0,00;0,00;0,00;0,00;0,00;1,00
pinchazo;pinchaz;0,00;0,17;0,00;0,17;0,50;0,17
pintura;pintur;0,00;0,00;0,00;0,00;0,00;1,00
piojo;pioj;0,00;0,50;0,00;0,17;0,00;0,33
piojos;pioj;0,00;0,50;0,00;0,17;0,00;0,33
pirotecnia;pirotecni;0,00;0,50;0,17;0,00;0,17;0,17
pistola;pistol;0,00;1,00;0,00;0,00;0,00;0,00
piton;piton;0,00;1,00;0,00;0,00;0,00;0,00
pizza;pizz;0,00;0,00;0,00;0,00;0,00;1,00
placer;plac;0,00;0,00;1,00;0,00;0,00;0,00
planta;plant;0,00;0,00;0,50;0,00;0,00;0,50
playa;play;0,00;0,00;0,50;0,00;0,00;0,50
pleito;pleit;0,00;0,00;0,00;1,00;0,00;0,00
pobreza;pobrez;1,00;0,00;0,00;0,00;0,00;0,00
poder;pod;0,00;0,33;0,33;0,00;0,00;0,33
poderoso;poder;0,00;0,33;0,33;0,00;0,00;0,33
podrido;podr;0,33;0,00;0,00;0,33;0,00;0,33
poesia;poes;0,00;0,00;0,50;0,00;0,00;0,50
ponzonya;ponzony;0,00;1,00;0,00;0,00;0,00;0,00
porqueria;porqu;0,00;0,00;0,00;0,67;0,00;0,33
poster;post;0,00;0,00;0,00;0,00;0,00;1,00
pradera;prader;0,00;0,00;0,50;0,00;0,00;0,50
precipicio;precipici;0,00;0,83;0,00;0,00;0,00;0,17
predominante;predomin;0,00;0,00;0,00;0,00;0,00;1,00
prenda;prend;0,00;0,00;0,00;0,00;0,00;1,00
presion;presion;0,00;0,00;0,00;0,50;0,00;0,50
prestigio;prestigi;0,00;0,00;1,00;0,00;0,00;0,00
primavera;primaver;0,00;0,00;0,50;0,00;0,00;0,50
prision;prision;0,17;0,83;0,00;0,00;0,00;0,00
privacidad;privac;0,00;0,00;0,00;0,00;0,00;1,00
problema;problem;0,33;0,67;0,00;0,00;0,00;0,00
progreso;progres;0,00;0,00;0,67;0,00;0,00;0,33
promocion;promocion;0,00;0,00;1,00;0,00;0,00;0,00
protegido;proteg;0,00;0,00;0,83;0,00;0,00;0,17
publicacion;public;0,00;0,00;0,00;0,00;0,00;1,00
pueblo;puebl;0,00;0,00;0,00;0,00;0,00;1,00
puerta;puert;0,00;0,00;0,00;0,00;0,00;1,00
puntapie;puntapi;0,00;0,00;0,00;0,33;0,17;0,50
pus;pus;0,00;0,50;0,00;0,00;0,00;0,50
puta;put;0,00;0,00;0,00;0,67;0,00;0,33
putrefacto;putrefact;0,00;0,33;0,00;0,50;0,00;0,17
queja;quej;0,17;0,00;0,00;0,83;0,00;0,00
quemadura;quemadur;0,17;0,67;0,00;0,00;0,17;0,00
queroseno;querosen;0,00;0,50;0,00;0,00;0,00;0,50
rabia;rabi;0,00;0,00;0,00;1,00;0,00;0,00
radiador;radiador;0,00;0,00;0,00;0,00;0,00;1,00
radiante;radiant;0,00;0,00;0,67;0,00;0,00;0,33
radio;radi;0,00;0,00;0,00;0,00;0,00;1,00
ramo;ram;0,00;0,00;0,17;0,00;0,00;0,83
rana;ran;0,00;0,00;0,00;0,00;0,00;1,00
rancio;ranci;0,00;0,00;0,00;0,50;0,00;0,50
rapido;rap;0,00;0,00;0,17;0,00;0,00;0,83
rapto;rapt;0,00;0,67;0,00;0,17;0,00;0,17
raro;rar;0,00;0,00;0,00;0,00;0,50;0,50
rascacielos;rascaciel;0,00;0,00;0,00;0,00;0,00;1,00
rata;rat;0,00;0,33;0,00;0,00;0,00;0,67
rebelde;rebeld;0,00;0,17;0,00;0,33;0,17;0,33
recado;rec;0,00;0,00;0,00;0,00;0,00;1,00
rechazado;rechaz;0,83;0,00;0,00;0,17;0,00;0,00
recogedor;recogedor;0,00;0,00;0,00;0,00;0,00;1,00
recompensa;recompens;0,00;0,00;1,00;0,00;0,00;0,00
reconocido;reconoc;0,00;0,00;0,67;0,00;0,00;0,33
recuerdos;recuerd;0,00;0,00;0,33;0,00;0,00;0,67
refrigerio;refrigeri;0,00;0,00;0,00;0,00;0,00;1,00
regalo;regal;0,00;0,00;1,00;0,00;0,00;0,00
rehen;rehen;0,00;0,83;0,00;0,17;0,00;0,00
reina;rein;0,00;0,00;0,00;0,00;0,00;1,00
relajado;relaj;0,00;0,00;0,33;0,00;0,00;0,67
relampago;relampag;0,00;0,50;0,00;0,00;0,33;0,17
reloj;reloj;0,00;0,00;0,00;0,00;0,00;1,00
repisa;repis;0,00;0,00;0,00;0,00;0,00;1,00
reptil;reptil;0,00;0,17;0,00;0,00;0,00;0,83
repugnante;repugn;0,00;0,00;0,00;0,67;0,00;0,33
rescate;rescat;0,00;0,00;0,67;0,00;0,00;0,33
resentirse;resent;0,50;0,00;0,00;0,50;0,00;0,00
reservado;reserv;0,00;0,00;0,00;0,00;0,00;1,00
respeto;respet;0,00;0,00;0,50;0,00;0,00;0,50
respetuoso;respetu;0,00;0,00;0,50;0,00;0,00;0,50
respuesta;respuest;0,00;0,00;0,00;0,00;0,00;1,00
restaurante;restaur;0,00;0,00;0,00;0,00;0,00;1,00
retrasado;retras;0,33;0,00;0,00;0,17;0,00;0,50
reunion;reunion;0,00;0,00;0,00;0,00;0,00;1,00
reverente;reverent;0,00;0,00;0,00;0,00;0,00;1,00
revolver;revolv;0,00;1,00;0,00;0,00;0,00;0,00
revuelta;revuelt;0,00;0,33;0,00;0,33;0,17;0,17
rey;rey;0,00;0,00;0,00;0,00;0,00;1,00
rifle;rifl;0,00;1,00;0,00;0,00;0,00;0,00
rigido;rig;0,00;0,00;0,00;0,17;0,00;0,83
rinya;riny;0,00;0,17;0,00;0,83;0,00;0,00
