Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
accionar		1,1	1,35	2,3	1,45	1,15
accionarial		1,14	1,36	1,25	1,25	1,36
acciones		1,65	1,6	2,6	1,65	1,15
accionista		1,11	1,55	1,94	1,5	1,55
acebo		1,27	1,07	1,75	1,31	1,14
acechar		2,2	2,58	1,65	2,21	1,68
acecho		2,05	2,33	1,25	2,37	1,89
aceite		1,2	1,05	2,2	1,35	1,65
aceleración		1,4	1,8	3,15	1,65	1,15
acelerador		1,23	1,9	1,9	1,37	1,07
acelerar		1,35	2,42	2,75	1,85	1,35
acento		1,27	1,27	2,67	1,47	1,27
acentuación		1,4	1,3	2,1	1,53	1,47
acentuar		1,1	1,65	1,85	1,3	1,3
acepción		1,56	1,18	1,65	1,19	1,25
aceptable		1,5	1	2,5	1,3	1
aceptación		1,33	1,37	3,77	1,23	1,2
aceptar		1,25	1,35	2,95	1,05	1,2
acepto		1,25	1,45	2,7	1,25	1,1
acequia		1,13	1,41	1,88	1	1,67
acera		1,17	1,33	1,37	1,17	1,33
acercamiento		1,2	1,45	2,85	1,45	1,6
acercar		1,21	1,25	2,35	1,2	1,2
acero		1,35	1,5	1,55	1,45	1,3
acertada		1,2	1,15	3,45	1,1	1
acertar		1	1,1	4,15	1,05	1,1
acertijo		1,25	1,35	2,68	1,15	1,05
achacar		2,22	1,94	1,39	2,58	1,94
acidez		1,57	1,53	1,17	1,63	2,77
ácido		1,63	2,47	1,17	1,83	2,2
acierto		1,03	1,17	4,07	1,1	1,03
aclamación		1,35	1,7	2,74	1,5	1,4
aclamar		1,35	1,55	3,58	1,58	1,32
aclaración		1,25	1,25	2,5	1,1	1,05
aclarar		1,3	1	2,35	1,2	1,1
acné		2,42	1,85	1,05	2,7	3,05
acné		2,23	1,8	1,17	2,47	3,5
acogedor		1,2	1,13	4,07	1,1	1,1
acogedora		1,26	1,23	4,33	1,13	1,16
acoger		1,4	1,55	3,2	1,15	1,05
acogida		1,65	1,21	3,15	1,05	1
acometer		1,75	1,63	1,79	2,2	1,61
acometida		1,76	1,78	1,28	1,53	1,19
acomodar		1,1	1	3,45	1,15	1,15
acomodo		1,35	1,37	1,72	1,39	1,42
acompañamiento		1,5	1,35	3,4	1,3	1,1
acompañante		1,1	1	3,15	1,3	1,15
acompañar		1,05	1,1	3,5	1,2	1,15
acondicionado		1,1	1,15	2,1	1,3	1,25
acondicionamiento		1,3	1,35	2,2	1,35	1,4
aconsejable		1,15	1,2	3,05	1,15	1,25
aconsejar		1,6	1,35	3,2	1,35	1
acontecer		1,2	1,55	2,61	1,05	1
acontecimiento		1,57	1,63	2,5	1,37	1,2
acoplamiento		1,5	2	1,65	2,3	1,85
acorazado		1,6	2	2	1,5	1,4
acordar		1,1	1,4	2,7	1,1	1,1
acorde		1,35	1,11	2,32	1,2	1,2
acordeón		1,3	1	2,6	1,15	1,05
acortar		2	1,6	2,2	1,65	1,35
acosar		3,2	4,07	1,13	4,03	3,57
acoso		3,7	3,93	1,13	3,9	4,07
acostar		1,25	1,25	3,45	1,3	1,3
acostumbrar		1,95	1,4	2,05	1,55	1,4
