S-Word;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
abandonado;1,00;0,00;0,00;0,00;0,00;0,00
abejas;0,00;0,50;0,17;0,00;0,00;0,33
aborto;0,67;0,17;0,00;0,00;0,00;0,17
abrasador;0,00;0,50;0,00;0,17;0,00;0,33
abrazo;0,00;0,00;1,00;0,00;0,00;0,00
abrumado;0,50;0,17;0,00;0,17;0,00;0,17
absurdo;0,00;0,00;0,00;0,67;0,17;0,17
abundancia;0,00;0,00;0,67;0,00;0,00;0,33
aburrido;0,50;0,00;0,00;0,17;0,00;0,33
accidente;0,50;0,50;0,00;0,00;0,00;0,00
acido;0,00;0,33;0,00;0,00;0,00;0,67
acogedor;0,00;0,00;1,00;0,00;0,00;0,00
acontecimiento;0,00;0,00;0,00;0,00;0,17;0,83
acre;0,00;0,00;0,00;0,00;0,00;1,00
activar;0,00;0,00;0,00;0,00;0,17;0,83
acuerdo;0,00;0,00;0,67;0,00;0,00;0,33
acurrucarse;0,00;0,00;0,67;0,00;0,00;0,33
adicto;0,67;0,00;0,00;0,00;0,00;0,33
adinerado;0,00;0,00;0,33;0,00;0,00;0,67
admirado;0,00;0,00;1,00;0,00;0,00;0,00
adorable;0,00;0,00;0,83;0,00;0,00;0,17
adulto;0,00;0,00;0,00;0,00;0,00;1,00
afectar;0,33;0,17;0,00;0,17;0,00;0,33
afecto;0,00;0,00;1,00;0,00;0,00;0,00
afianzar;0,00;0,00;0,50;0,00;0,00;0,50
afligido;1,00;0,00;0,00;0,00;0,00;0,00
afortunado;0,00;0,00;1,00;0,00;0,00;0,00
agilidad;0,00;0,00;0,33;0,00;0,00;0,67
agobiado;0,67;0,00;0,00;0,17;0,00;0,17
agonia;1,00;0,00;0,00;0,00;0,00;0,00
agradecido;0,00;0,00;1,00;0,00;0,00;0,00
agresion;0,00;0,33;0,00;0,67;0,00;0,00
agresivo;0,00;0,50;0,00;0,50;0,00;0,00
agua;0,00;0,00;0,17;0,00;0,00;0,83
aguanieve;0,00;0,00;0,17;0,00;0,00;0,83
aguja;0,00;0,50;0,00;0,00;0,00;0,50
ahogarse;0,17;0,83;0,00;0,00;0,00;0,00
ahorrar;0,00;0,00;0,17;0,00;0,00;0,83
aire;0,00;0,00;0,00;0,00;0,00;1,00
alba;0,00;0,00;0,17;0,00;0,00;0,83
alcoholico;0,83;0,00;0,00;0,00;0,00;0,17
alegre;0,00;0,00;1,00;0,00;0,00;0,00
alergia;0,17;0,00;0,33;0,33;0,00;0,17
alerta;0,00;0,33;0,00;0,00;0,67;0,00
almohada;0,00;0,00;0,17;0,00;0,00;0,83
amabilidad;0,00;0,00;1,00;0,00;0,00;0,00
amable;0,00;0,00;1,00;0,00;0,00;0,00
amado;0,00;0,00;1,00;0,00;0,00;0,00
amanecer;0,00;0,00;0,50;0,00;0,00;0,50
amarillo;0,00;0,00;0,00;0,00;0,00;1,00
ambicion;0,00;0,00;0,00;0,33;0,00;0,67
ambulancia;0,17;0,50;0,00;0,00;0,17;0,17
amenaza;0,00;0,83;0,00;0,17;0,00;0,00
amigable;0,00;0,00;1,00;0,00;0,00;0,00
amigo;0,00;0,00;1,00;0,00;0,00;0,00
amor;0,00;0,00;1,00;0,00;0,00;0,00
ampolla;0,17;0,33;0,00;0,00;0,00;0,50
angel;0,00;0,00;0,50;0,00;0,00;0,50
angustiado;0,33;0,67;0,00;0,00;0,00;0,00
anhelo;1,00;0,00;0,00;0,00;0,00;0,00
animo;0,00;0,00;0,17;0,00;0,00;0,83
ansioso;0,17;0,00;0,17;0,17;0,00;0,50
aplastado;0,33;0,17;0,00;0,00;0,33;0,17
aplausos;0,00;0,00;1,00;0,00;0,00;0,00
aprender;0,00;0,00;0,33;0,17;0,00;0,50
aprobacion;0,00;0,00;0,83;0,00;0,00;0,17
apuros;0,17;0,83;0,00;0,00;0,00;0,00
aranya;0,00;0,67;0,00;0,00;0,00;0,33
arbol;0,00;0,00;0,17;0,00;0,00;0,83
arco-iris;0,00;0,00;0,67;0,00;0,17;0,17
arma;0,00;1,00;0,00;0,00;0,00;0,00
armario;0,00;0,00;0,00;0,00;0,00;1,00
arrepentido;1,00;0,00;0,00;0,00;0,00;0,00
arrogante;0,00;0,00;0,00;1,00;0,00;0,00
arte;0,00;0,00;0,33;0,00;0,17;0,50
as;0,00;0,00;0,33;0,00;0,00;0,67
ascensor;0,00;0,00;0,00;0,00;0,00;1,00
asediado;0,17;0,83;0,00;0,00;0,00;0,00
asesinar;0,17;0,83;0,00;0,00;0,00;0,00
asesino;0,00;1,00;0,00;0,00;0,00;0,00
asfixiarse;0,00;1,00;0,00;0,00;0,00;0,00
asiento;0,00;0,00;0,00;0,00;0,00;1,00
asombrado;0,00;0,00;0,00;0,00;1,00;0,00
aspero;0,17;0,00;0,00;0,00;0,00;0,83
asqueado;0,17;0,00;0,00;0,67;0,17;0,00
asqueroso;0,00;0,00;0,00;0,67;0,17;0,17
astronauta;0,00;0,00;0,00;0,00;0,00;1,00
asustado;0,00;1,00;0,00;0,00;0,00;0,00
ataud;0,17;0,83;0,00;0,00;0,00;0,00
aterrorizado;0,00;1,00;0,00;0,00;0,00;0,00
atico;0,00;0,00;0,00;0,00;0,00;1,00
atracador;0,00;0,83;0,00;0,00;0,17;0,00
atrevido;0,00;0,00;0,00;0,00;0,83;0,17
atrocidad;0,33;0,33;0,00;0,17;0,17;0,00
aurora;0,00;0,00;0,50;0,00;0,00;0,50
autobus;0,00;0,00;0,00;0,00;0,00;1,00
avalancha;0,00;0,83;0,00;0,00;0,17;0,00
avaricia;0,50;0,00;0,00;0,33;0,00;0,17
avenida;0,00;0,00;0,00;0,00;0,00;1,00
aventura;0,00;0,00;0,33;0,00;0,50;0,17
avergonzado;1,00;0,00;0,00;0,00;0,00;0,00
avion;0,00;0,00;0,00;0,00;0,00;1,00
